Skater,Country,Year,SP_Score,Total_Element_Score_FS,Total_FS_Score,Total_Score_Overall,Num_Jumps_FS,Num_Quad_Jumps_FS,Avg_Jump_Score,Avg_Element_Score,Medal
Hanyu Yuzuru,JPN,2014,101.45,89.66,178.64,280.09,8,2,12.31,10.77,Gold
Chan Patrick,CAN,2014,97.52,85.4,178.1,275.62,8,2,11.23,9.85,Silver
Ten Denis,KAZ,2014,84.06,88.9,171.04,255.1,8,1,10.34,9.45,Bronze
Fernandez Javier,ESP,2014,86.98,77.8,166.94,253.92,8,2,9.43,8.94,NaN
Machida Tatsuki,JPN,2014,83.48,88.22,169.94,253.42,8,2,10.77,9.78,NaN
Takahashi Daisuke,JPN,2014,86.4,73.27,164.27,250.67,8,1,9.48,8.19,NaN
Yan Han,CHN,2014,85.66,80.6,160.54,246.2,9,1,9.9,9.37,NaN
Abbott Jeremy,USA,2014,72.58,78.1,160.12,232.7,9,0,9.24,8.73,NaN
Liebers Peter,GER,2014,86.04,75.97,153.83,239.87,8,1,9.03,8.11,NaN
Reynolds Kevin,CAN,2014,68.76,79.83,153.47,222.23,8,2,9.98,8.31,NaN
Brown Jason,USA,2014,86,68.09,152.37,238.37,6,0,8.51,7.57,NaN
Verner Tomas,CZE,2014,81.09,73.98,151.9,232.99,7,1,8.71,7.94,NaN
Brezina Michal,CZE,2014,81.95,75.31,151.67,233.62,7,2,9.18,8.37,NaN
Joubert Brian,FRA,2014,85.84,69.51,145.93,231.77,6,2,8.69,7.73,NaN
Hendrickx Jorik,BEL,2014,72.52,73.88,141.52,214.04,8,0,8.44,8.24,NaN
Majorov Alexander,SWE,2014,83.81,66.05,141.05,224.86,7,1,8.23,7.34,NaN
Ge Misha,UZB,2014,68.07,69.63,135.19,203.26,7,0,7.73,7.74,NaN
Amodio Florent,FRA,2014,75.58,49,123.06,198.64,7,0,6.15,6.13,NaN
Godorozha Yakov,UKR,2014,62.65,65.12,119.54,182.19,8,0,7.12,7.23,NaN
Martinez Michael Christian,PHI,2014,64.81,62.58,119.44,184.25,8,0,7.13,7,NaN
Bychenko Alexei,ISR,2014,62.44,59.96,114.62,177.06,7,1,7.16,6.67,NaN
Rakimgaliev Abzal,KAZ,2014,64.18,53.92,110.22,174.4,7,0,6.3,6.02,NaN
Kelemen Zoltan,ROU,2014,60.41,50.27,98.35,158.76,8,0,5.62,5.59,NaN
Romanenkov Viktor,EST,2014,61.55,32.42,78.44,139.99,8,0,4.38,3.6,NaN
Chen Nathan,USA,2018,82.27,127.64,215.08,297.35,7,6,9.81,9.8,NaN
Hanyu Yuzuru,JPN,2018,111.68,109.55,206.17,317.85,7,4,8.42,8.42,Gold
Uno Shoma,JPN,2018,104.17,111.01,202.73,306.9,9,4,8.55,8.55,Silver
Fernandez Javier,ESP,2018,107.58,101.52,197.66,305.24,6,3,7.81,7.81,Bronze
Jin Boyang,CHN,2018,103.32,109.69,194.45,297.77,7,5,8.44,8.44,NaN
Zhou Vincent,USA,2018,84.53,112.24,192.16,276.69,7,5,8.63,8.63,NaN
Kolyada Mikhail,OAR,2018,86.69,91.62,177.56,264.25,8,4,7.05,7.05,NaN
Chan Patrick,CAN,2018,90.01,81.56,173.42,263.43,7,1,6.27,6.27,NaN
Bychenko Alexei,ISR,2018,84.13,89.08,172.88,257.01,9,2,6.85,6.85,NaN
Rippon Adam,USA,2018,87.95,84.47,171.41,259.36,9,0,6.5,6.5,NaN
Samohin Daniel,ISR,2018,80.69,89.03,170.75,251.44,9,2,6.56,6.56,NaN
Messing Keegan,CAN,2018,85.11,84.88,170.32,255.43,8,2,6.53,6.53,NaN
Aliev Dmitri,OAR,2018,98.98,85.39,168.53,267.51,7,3,6.57,6.57,NaN
Cha Junhwan,KOR,2018,83.43,84.94,165.16,248.59,8,1,6.37,6.37,NaN
Tanaka Keiji,JPN,2018,80.05,85.64,164.78,244.83,8,3,6.59,6.59,NaN
Hendrickx Jorik,BEL,2018,84.74,81.79,164.21,248.95,7,0,6.29,6.29,NaN
Ge Misha,UZB,2018,83.9,74.96,161.04,244.94,7,0,5.77,5.77,NaN
Brezina Michal,CZE,2018,85.15,76.58,160.92,246.07,8,1,5.89,5.89,NaN
Rizzo Matteo,ITA,2018,75.63,80.86,156.78,232.41,8,0,6.22,6.22,NaN
Vasiljevs Deniss,LAT,2018,79.52,76.42,155.06,234.58,8,0,5.88,5.88,NaN
Kerry Brendan,AUS,2018,83.06,73.33,150.75,233.81,7,1,5.64,5.64,NaN
Fentz Paul,GER,2018,74.73,66.98,139.82,214.55,8,0,5.15,5.15,NaN
Yan Han,CHN,2018,80.63,53.8,132.38,213.01,8,1,4.14,4.14,NaN
Kvitelashvili Morisi,GEO,2018,76.56,63.35,128.01,204.57,8,2,4.87,4.87,NaN
Chen Nathan,USA,2022,113.97,121.41,218.63,332.6,8,5,15.18,12.14,Gold
Kagiyama Yuma,JPN,2022,108.12,107.99,201.93,310.05,7,4,13.5,13.5,Silver
Uno Shoma,JPN,2022,105.9,96.24,187.1,293,7,3,12.34,12.03,Bronze
Cha Junhwan,KOR,2022,99.51,93.59,182.87,282.38,7,2,11.64,11.7,NaN
Kvitelashvili Morisi,GEO,2022,97.98,85.92,170.64,268.62,7,3,10.66,10.74,NaN
Brown Jason,USA,2022,97.24,87.66,184,281.24,7,0,11.5,10.96,NaN
Semenenko Evgeni,ROC,2022,95.76,94.81,178.37,274.13,7,3,11.15,11.85,NaN
Hanyu Yuzuru,JPN,2022,95.15,99.62,188.06,283.21,8,3,12.38,12.45,NaN
Messing Keegan,CAN,2022,93.24,84.13,172.37,265.61,7,1,10.77,10.52,NaN
Aymoz Kevin,FRA,2022,93,76.6,161.8,254.8,7,1,9.6,9.58,NaN
Jin Boyang,CHN,2022,90.98,97.23,179.45,270.43,7,3,11.22,12.15,NaN
Grassl Daniel,ITA,2022,90.64,103.35,187.43,278.07,7,3,12.93,12.92,NaN
Rizzo Matteo,ITA,2022,88.63,76.92,158.9,247.53,7,0,9.91,9.62,NaN
Siao Him Fa Adam,FRA,2022,86.74,81.69,163.41,250.15,7,2,10.21,10.21,NaN
Kondratiuk Mark,ROC,2022,86.11,80.15,162.71,248.82,7,2,10.17,10.02,NaN
Vasiljevs Deniss,LAT,2022,85.3,84.75,167.41,252.71,7,1,10.46,10.59,NaN
Kerry Brendan,AUS,2022,84.79,83.51,160.01,244.8,7,1,10,10.44,NaN
Litvintsev Vladimir,AZE,2022,84.15,80.76,155.04,239.19,7,2,9.7,10.1,NaN
Carrillo Donovan,MEX,2022,79.69,66.56,138.44,218.13,7,1,8.3,8.32,NaN
Majorov Nikolaj,SWE,2022,78.54,67.6,142.24,220.78,7,0,8.89,8.45,NaN
Milyukov Konstantin,BLR,2022,78.49,71.35,143.73,222.22,7,1,8.97,8.92,NaN
Shmuratko Ivan,UKR,2022,78.11,57.17,127.65,205.76,7,0,7.15,7.15,NaN
Mozalev Andrei,ROC,2022,77.05,79.48,156.28,233.33,7,2,9.79,9.94,NaN
Britschgi Lukas,SUI,2022,76.16,64.72,136.42,212.58,7,1,8.05,8.09,NaN
